period,start,end,hold_days,bottom_n,cost_bps_oneway,avg_daily_turnover,days,avg_daily_ret_gross,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,avg_daily_ret_net,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net
2015-2019,2015-11-19,2019-12-31,3,50,20,0.18354045307443362,1029,0.0014521967060213258,1.8135069852614156,0.3659535699173741,0.20179330594892758,0.5830903790087464,0.0007180348937235914,0.896683823913073,0.18094479321834503,0.2017933059489276,0.5539358600583091
2020-2021,2020-01-01,2021-12-31,3,5,0,0.3138888888888889,503,0.0031894956802766806,1.4958669846224302,0.8037529114297235,0.5373157638294943,0.5805168986083499,0.0031894956802766806,1.4958669846224302,0.8037529114297235,0.5373157638294943,0.5805168986083499
2020-2021,2020-01-01,2021-12-31,3,5,5,0.3138888888888889,503,0.0031894956802766806,1.4958669846224302,0.8037529114297235,0.5373157638294943,0.5805168986083499,0.002875606791387791,1.3486537343796905,0.7246529114297233,0.5373157638294943,0.5765407554671969
2020-2021,2020-01-01,2021-12-31,3,5,10,0.3138888888888889,503,0.0031894956802766806,1.4958669846224302,0.8037529114297235,0.5373157638294943,0.5805168986083499,0.0025617179024989022,1.2014404841369513,0.6455529114297234,0.5373157638294943,0.5666003976143141
2020-2021,2020-01-01,2021-12-31,3,5,20,0.3138888888888889,503,0.0031894956802766806,1.4958669846224302,0.8037529114297235,0.5373157638294943,0.5805168986083499,0.001933940124721125,0.9070139836514727,0.4873529114297235,0.5373157638294943,0.558648111332008
2020-2021,2020-01-01,2021-12-31,3,10,0,0.2926587301587301,503,0.0036637168209201127,1.9275244727138168,0.9232566388718684,0.47898568964573984,0.5924453280318092,0.0036637168209201127,1.9275244727138168,0.9232566388718684,0.47898568964573984,0.5924453280318092
2020-2021,2020-01-01,2021-12-31,3,10,5,0.2926587301587301,503,0.0036637168209201127,1.9275244727138168,0.9232566388718684,0.47898568964573984,0.5924453280318092,0.003371058090761383,1.773553275673367,0.8495066388718685,0.47898568964573984,0.5825049701789264
2020-2021,2020-01-01,2021-12-31,3,10,10,0.2926587301587301,503,0.0036637168209201127,1.9275244727138168,0.9232566388718684,0.47898568964573984,0.5924453280318092,0.0030783993606026522,1.6195820786329167,0.7757566388718684,0.4789856896457399,0.5785288270377733
2020-2021,2020-01-01,2021-12-31,3,10,20,0.2926587301587301,503,0.0036637168209201127,1.9275244727138168,0.9232566388718684,0.47898568964573984,0.5924453280318092,0.0024930819002851926,1.311639684552017,0.6282566388718686,0.47898568964573984,0.5666003976143141
2020-2021,2020-01-01,2021-12-31,3,20,0,0.25704365079365077,503,0.004035459069721024,2.2096163900798755,1.016935685569698,0.46023178056392716,0.6083499005964215,0.004035459069721024,2.2096163900798755,1.016935685569698,0.46023178056392716,0.6083499005964215
2020-2021,2020-01-01,2021-12-31,3,20,5,0.25704365079365077,503,0.004035459069721024,2.2096163900798755,1.016935685569698,0.46023178056392716,0.6083499005964215,0.0037784154189273726,2.068872089630587,0.9521606855696979,0.46023178056392716,0.6003976143141153
2020-2021,2020-01-01,2021-12-31,3,20,10,0.25704365079365077,503,0.004035459069721024,2.2096163900798755,1.016935685569698,0.46023178056392716,0.6083499005964215,0.003521371768133722,1.9281277891813,0.887385685569698,0.46023178056392716,0.5944333996023857
2020-2021,2020-01-01,2021-12-31,3,20,20,0.25704365079365077,503,0.004035459069721024,2.2096163900798755,1.016935685569698,0.46023178056392716,0.6083499005964215,0.0030072844665464202,1.6466391882827245,0.7578356855696979,0.46023178056392716,0.5785288270377733
2020-2021,2020-01-01,2021-12-31,3,30,0,0.22821869488536153,503,0.0042566631201238336,2.362724189300106,1.072679106271206,0.45400098374959236,0.6222664015904572,0.0042566631201238336,2.362724189300106,1.072679106271206,0.45400098374959236,0.6222664015904572
2020-2021,2020-01-01,2021-12-31,3,30,5,0.22821869488536153,503,0.0042566631201238336,2.362724189300106,1.072679106271206,0.45400098374959236,0.6222664015904572,0.004028444425238474,2.2360480075964304,1.0151679951600954,0.45400098374959236,0.6202783300198808
2020-2021,2020-01-01,2021-12-31,3,30,10,0.22821869488536153,503,0.0042566631201238336,2.362724189300106,1.072679106271206,0.45400098374959236,0.6222664015904572,0.003800225730353111,2.1093718258927536,0.957656884048984,0.45400098374959236,0.6123260437375746
2020-2021,2020-01-01,2021-12-31,3,30,20,0.22821869488536153,503,0.0042566631201238336,2.362724189300106,1.072679106271206,0.45400098374959236,0.6222664015904572,0.0033437883405823877,1.856019462485401,0.8426346618267617,0.4540009837495924,0.5944333996023857
2020-2021,2020-01-01,2021-12-31,3,50,0,0.18514550264550259,503,0.0043565467088964045,2.411796602116483,1.097849770641894,0.4551999823195998,0.6282306163021869,0.0043565467088964045,2.411796602116483,1.097849770641894,0.4551999823195998,0.6282306163021869
2020-2021,2020-01-01,2021-12-31,3,50,5,0.18514550264550259,503,0.0043565467088964045,2.411796602116483,1.097849770641894,0.4551999823195998,0.6282306163021869,0.004171401206250902,2.309299527250807,1.0511931039752271,0.4551999823195998,0.6182902584493042
2020-2021,2020-01-01,2021-12-31,3,50,10,0.18514550264550259,503,0.0043565467088964045,2.411796602116483,1.097849770641894,0.4551999823195998,0.6282306163021869,0.003986255703605399,2.20680245238513,1.0045364373085606,0.4551999823195998,0.6163021868787276
2020-2021,2020-01-01,2021-12-31,3,50,20,0.18514550264550259,503,0.0043565467088964045,2.411796602116483,1.097849770641894,0.4551999823195998,0.6282306163021869,0.0036159646983143926,2.0018083026537763,0.9112231039752269,0.4551999823195998,0.6023856858846919
2022-2025,2022-01-01,2025-11-14,3,5,0,0.31914600550964184,967,0.0018724207442423668,1.508195915025452,0.47185002754907646,0.31285725073795445,0.5491209927611168,0.0018724207442423668,1.508195915025452,0.47185002754907646,0.31285725073795445,0.5491209927611168
2022-2025,2022-01-01,2025-11-14,3,5,5,0.31914600550964184,967,0.0018724207442423668,1.508195915025452,0.47185002754907646,0.31285725073795445,0.5491209927611168,0.0015532747387327255,1.2511304540245418,0.39142523416064684,0.31285725073795445,0.5429162357807652
2022-2025,2022-01-01,2025-11-14,3,5,10,0.31914600550964184,967,0.0018724207442423668,1.508195915025452,0.47185002754907646,0.31285725073795445,0.5491209927611168,0.0012341287332230835,0.994064993023631,0.31100044077221706,0.31285725073795445,0.5305067218200621
2022-2025,2022-01-01,2025-11-14,3,5,20,0.31914600550964184,967,0.0018724207442423668,1.508195915025452,0.47185002754907646,0.31285725073795445,0.5491209927611168,0.0005958367222037997,0.4799340710218096,0.15015085399535752,0.31285725073795445,0.5139607032057911
2022-2025,2022-01-01,2025-11-14,3,10,0,0.29851928374655645,967,0.0017091812993955983,1.5191465085310472,0.4307136874476908,0.2835234686246117,0.5584281282316442,0.0017091812993955983,1.5191465085310472,0.4307136874476908,0.2835234686246117,0.5584281282316442
2022-2025,2022-01-01,2025-11-14,3,10,5,0.29851928374655645,967,0.0017091812993955983,1.5191465085310472,0.4307136874476908,0.2835234686246117,0.5584281282316442,0.0014106620156490416,1.2538179984466369,0.35548682794355846,0.2835234686246117,0.5522233712512926
2022-2025,2022-01-01,2025-11-14,3,10,10,0.29851928374655645,967,0.0017091812993955983,1.5191465085310472,0.4307136874476908,0.2835234686246117,0.5584281282316442,0.0011121427319024857,0.9884894883622273,0.2802599684394264,0.2835234686246117,0.5449844881075491
2022-2025,2022-01-01,2025-11-14,3,10,20,0.29851928374655645,967,0.0017091812993955983,1.5191465085310472,0.4307136874476908,0.2835234686246117,0.5584281282316442,0.0005151041644093727,0.45783246819340684,0.12980624943116192,0.2835234686246117,0.5243019648397105
2022-2025,2022-01-01,2025-11-14,3,20,0,0.2639634986225895,967,0.0019369013722661636,1.7224431085993535,0.4880991458110732,0.28337606239313357,0.5749741468459152,0.0019369013722661636,1.7224431085993535,0.4880991458110732,0.28337606239313357,0.5749741468459152
2022-2025,2022-01-01,2025-11-14,3,20,5,0.2639634986225895,967,0.0019369013722661636,1.7224431085993535,0.4880991458110732,0.28337606239313357,0.5749741468459152,0.001672937873643574,1.4877062677697648,0.42158034415818063,0.28337606239313357,0.5677352637021716
