name,rank_mode,bottom_n,hold_days,cost_bps_oneway,zscore_filter,rsi_filter,days,avg_breadth,turnover,sharpe_gross,ann_ret_gross,ann_vol_gross,win_rate_gross,sharpe_net,ann_ret_net,ann_vol_net,win_rate_net,beta_net_vs_eqw,alpha_ann_net_vs_eqw,r2_net_vs_eqw
combo_rank AND z<= -1.0,combo,20,3,10,-1.0,,2500,42.7252,0.30624458251758563,1.8837584554081188,0.5925958313695572,0.31458164377086795,0.5744,1.39336387713059,0.4382485617806941,0.31452556577194823,0.5576,0.869257110878732,0.30352407453722663,0.27535612259370656
rsi_rank AND rsi<= 10.0,rsi,50,3,10,,10.0,2486,45.35720032180209,0.2949343186615892,1.8294635190585888,0.6163707564465478,0.33691339019633576,0.5639581657280772,1.3890991741808645,0.4677238598411068,0.33671019933973984,0.5494770716009654,0.8196238532503647,0.3324820387802526,0.21366699976978787
rsi_rank AND rsi<= 10.0,rsi,30,3,10,,10.0,2486,36.9646017699115,0.2936996822034183,1.8190043819997956,0.6197811154784724,0.34072546587111086,0.5663716814159292,1.3854665513876563,0.47175647564794954,0.34050369182528983,0.5502815768302494,0.822817768051306,0.33598764350478044,0.2105641784474953
rsi_rank AND rsi<= 15.0,rsi,10,3,10,,15.0,2498,19.521216973578863,0.2894312275216999,1.7909598731190386,0.6393522713356407,0.3569886075795654,0.5612489991993594,1.3833846300061416,0.49347893266470394,0.35671853074044424,0.5484387510008006,0.8943259848827773,0.3536965577116748,0.2264658128670295
z_rank,zscore,50,3,10,,,2503,100.96484218937275,0.2562498335330936,1.8077902945391577,0.5429661904170628,0.300347995039699,0.588094286855773,1.3776586134399338,0.4138162743163837,0.3003765013185004,0.5697163403915302,0.9488095181388739,0.2650143150454188,0.35948089634389435
rsi_rank AND z<= -1.5,rsi,10,3,10,-1.5,,2191,9.337288909173893,0.3300864648308738,1.762707604164403,0.7395100677019311,0.41953076389688004,0.5572797809219534,1.3662314809496006,0.5731464894271707,0.4195090637413835,0.5454130534002738,0.7686246053837889,0.48307460841752653,0.11101262125016342
rsi_rank,rsi,30,3,10,,,2503,59.103076308429884,0.26088693567718735,1.7818744859774442,0.5603684016808559,0.314482532911664,0.5809029165001998,1.3648019710051629,0.4288813860995535,0.31424440703561324,0.5681182580902916,0.9475440851797263,0.280277884896354,0.3275769958411576
rsi_rank,rsi,20,3,10,,,2503,40.44946064722333,0.2731921693967239,1.7803905989244848,0.5861603731380692,0.3292313346813686,0.5781062724730324,1.363270492636972,0.44847151976212063,0.3289673782160742,0.5597283260087894,0.9478762393150613,0.29981592676897495,0.29912124913446225
rsi_rank,rsi,50,3,10,,,2503,93.25409508589692,0.23628978559062455,1.7454766707425973,0.5353120712777868,0.3066853199762579,0.589292848581702,1.3581640003342046,0.41622201934011194,0.30645932246598484,0.5729125049940071,0.9669276514713592,0.26457859011478285,0.3586674336137684
z_rank AND rsi<= 10.0,zscore,50,3,10,,10.0,2486,42.96178600160901,0.30669277419154306,1.8031280889582169,0.6097741110530271,0.33817570409284287,0.5663716814159292,1.3462964907376274,0.45520095286048934,0.33811345122877623,0.5490748189863234,0.821868816666374,0.3195887021941618,0.213059510831763
combo_rank AND rsi<= 10.0,combo,20,3,10,,10.0,2486,31.6331456154465,0.3096492779378394,1.7929865589148906,0.6243517437531586,0.34821886458034257,0.5631536604987932,1.345055703701374,0.46828850767248753,0.3481554751850306,0.5478680611423974,0.8390556294081891,0.32984035143286894,0.20943818699446914
z_rank AND rsi<= 10.0,zscore,30,3,10,,10.0,2486,34.05028157683025,0.31496987475879573,1.8061266638464284,0.6179674233529094,0.3421506562761504,0.5683829444891392,1.3422816680593372,0.45922260647447627,0.34212089563766274,0.5478680611423974,0.8266032672379453,0.3228291490210564,0.21050181849422933
rsi_rank AND z<= -1.5,rsi,5,3,10,-1.5,,1839,5.545405111473627,0.32911606549453204,1.681770744075523,0.7866903999350352,0.46777505358941335,0.5475802066340403,1.327162105485467,0.620815902925791,0.46777699601263173,0.5388798259923872,0.7155073434616183,0.5238626737002631,0.07688597764294192
combo_rank AND rsi<= 10.0,combo,10,3,10,,10.0,2485,20.684909456740442,0.31900210788540767,1.7720403519049384,0.6370620653973434,0.35950765156815057,0.5573440643863179,1.325006417741118,0.47628500302309795,0.35945863857404753,0.5396378269617707,0.8494891775556954,0.33630007375175364,0.201468821484048
z_rank AND z<= -1.0,zscore,30,3,10,-1.0,,2500,61.2528,0.3072051361117254,1.8554703067286844,0.5403100850770616,0.2911984541696405,0.5828,1.323902343122701,0.3854786964767519,0.29116852801054777,0.5648,0.8211705964711756,0.25820704558723107,0.28673985188413775
combo_rank (rank_z + rank_rsi),combo,20,3,10,,,2503,46.45984818218138,0.29481289119723003,1.7514851791831498,0.5671089732753,0.32378748048543915,0.5773072313224131,1.292643653996309,0.41852327611189605,0.32377312557718335,0.5601278465840991,0.948690948898094,0.26973991207527487,0.30932682088080043
combo_rank AND z<= -1.0,combo,10,3,10,-1.0,,2500,24.7908,0.3174201058201059,1.7571254783254817,0.5866565252942247,0.3338728693714584,0.5628,1.2781111125158882,0.42667679196089153,0.33383388015538246,0.5464,0.8761900092361815,0.2908777881392689,0.24833956207012298
rsi_rank AND rsi<= 20.0,rsi,20,3,10,,20.0,2503,36.884938074310824,0.2812722880759967,1.7036639251476353,0.5587396732582508,0.3279635525591304,0.5741110667199361,1.2724793298806807,0.41697844006794854,0.32768975517036353,0.5581302437075509,0.8939362424833857,0.2767822660184144,0.2681248222978936
rsi_rank AND rsi<= 15.0,rsi,20,3,10,,15.0,2498,34.276220976781424,0.28602874216182206,1.67587676781018,0.5655685021504718,0.3374761873986021,0.5704563650920736,1.249709887869918,0.42141001610091355,0.33720627498530126,0.5540432345876701,0.8729454324340792,0.2849694029322952,0.2414599971170145
combo_rank AND rsi<= 20.0,combo,30,3,10,,20.0,2503,55.28365960846983,0.2928116232647996,1.713789303332565,0.535480841814934,0.3124543027393506,0.5757091490211745,1.2418643249280514,0.38790378368947515,0.3123560085454172,0.5577307231322413,0.8808686852047463,0.2497569968865627,0.28653143351575405
z_rank,zscore,30,3,10,,,2503,69.27606871753895,0.2901584764948728,1.7240349692372878,0.5191407738802037,0.3011196310651816,0.5829005193767479,1.238154630147669,0.37290090172678786,0.30117474235210323,0.568917299240911,0.9198973903231021,0.22863323641412797,0.33611766512232544
