symbol,trade_id,entry_date,exit_date,holding_days
AMT,38,2022-04-29,2022-05-05,6
AMT,39,2022-07-18,2022-07-21,3
AMT,40,2022-08-24,2022-08-29,5
AMT,41,2022-09-29,2022-10-04,5
AMT,42,2022-10-06,2022-10-17,11
AMT,43,2023-01-23,2023-01-27,4
AMT,44,2023-02-09,2023-02-14,5
AMT,45,2023-02-22,2023-02-27,5
AMT,46,2023-03-22,2023-03-27,5
AMT,47,2023-04-26,2023-05-01,5
AMT,48,2023-07-17,2023-07-21,4
AMT,49,2023-09-27,2023-10-02,5
AMT,50,2023-12-11,2023-12-14,3
AMT,51,2024-01-23,2024-01-29,6
AMT,52,2024-03-15,2024-03-27,12
AMT,53,2024-04-08,2024-04-11,3
AMT,54,2024-08-09,2024-08-14,5
AMT,55,2024-08-15,2024-08-20,5
AMT,56,2024-09-19,2024-09-24,5
AMT,57,2024-09-27,2024-10-02,5
AMT,58,2024-10-04,2024-10-09,5
AMT,59,2024-11-06,2024-11-11,5
AMT,60,2024-12-19,2024-12-24,5
AMT,61,2025-04-23,2025-04-28,5
AMT,62,2025-05-08,2025-05-13,5
AMT,63,2025-07-29,2025-08-04,6
AMT,64,2025-08-12,2025-08-19,7
AMT,65,2025-08-27,2025-09-03,7
AMT,66,2025-09-04,2025-09-09,5
AMT,67,2025-10-06,2025-10-09,3
AMZN,1,2016-03-18,2016-03-23,5
AMZN,2,2016-08-19,2016-08-24,5
AMZN,3,2016-11-30,2016-12-07,7
AMZN,4,2017-09-26,2017-09-29,3
AMZN,5,2017-10-23,2017-10-26,3
AMZN,6,2018-10-08,2018-10-11,3
AMZN,7,2019-01-22,2019-01-25,3
AMZN,8,2019-07-26,2019-08-08,13
AMZN,9,2019-11-11,2019-11-14,3
AMZN,10,2019-11-15,2019-11-20,5
AMZN,11,2020-04-28,2020-05-01,3
AMZN,12,2020-05-28,2020-06-02,5
AMZN,13,2020-07-15,2020-07-22,7
AMZN,14,2020-11-10,2020-11-13,3
AMZN,15,2020-12-24,2020-12-30,6
AMZN,16,2021-02-11,2021-02-17,6
AMZN,17,2021-06-25,2021-06-30,5
AMZN,18,2021-07-30,2021-08-05,6
AMZN,19,2021-10-04,2021-10-07,3
AMZN,20,2021-12-31,2022-01-05,5
AMZN,21,2022-03-08,2022-03-11,3
AMZN,22,2022-05-05,2022-05-10,5
AMZN,23,2022-10-14,2022-10-19,5
AMZN,24,2022-10-27,2022-11-08,12
AMZN,25,2022-11-09,2022-11-14,5
AMZN,26,2022-11-18,2022-11-25,7
AMZN,27,2023-03-28,2023-03-31,3
AMZN,28,2023-12-29,2024-01-09,11
AMZN,29,2024-05-31,2024-06-05,5
AMZN,30,2024-07-12,2024-07-24,12
AMZN,31,2024-08-27,2024-09-03,7
AMZN,32,2024-09-27,2024-10-08,11
AMZN,33,2024-11-22,2024-11-27,5
AMZN,34,2025-02-20,2025-02-27,7
AMZN,35,2025-04-17,2025-04-24,7
AMZN,36,2025-09-23,2025-09-29,6
ANET,1,2015-12-09,2015-12-16,7
ANET,2,2016-01-26,2016-01-29,3
ANET,3,2016-02-01,2016-02-05,4
ANET,4,2016-03-02,2016-03-11,9
ANET,5,2016-03-14,2016-03-18,4
