date,port_gross,daily_cost,port_net
2016-08-12,0.00146426084978645,0.0006,0.00086426084978645
2016-08-15,0.0058923416065147114,0.0006,0.005292341606514712
2016-08-16,0.009404199050125198,0.00046666666666666666,0.00893753238345853
2016-08-17,0.007677461531607188,0.0006000000000000001,0.007077461531607188
2016-08-18,0.014984576165419197,0.0006666666666666666,0.01431790949875253
2016-08-19,0.02055375599627993,0.0006,0.01995375599627993
2016-08-22,0.020694905443700187,0.0005333333333333335,0.020161572110366854
2016-08-23,0.0034062512902665264,0.0005833333333333334,0.002822917956933193
2016-08-24,-0.0059017353475145215,0.0006666666666666666,-0.0065684020141811884
2016-08-25,-0.008349233195975173,0.0006666666666666668,-0.009015899862641839
2016-08-26,-0.000999408037964727,0.0006,-0.001599408037964727
2016-08-29,-0.004411236849989588,0.0006,-0.005011236849989588
2016-08-30,-0.009473665817627383,0.0006666666666666666,-0.01014033248429405
2016-08-31,-0.005029241115195877,0.0006,-0.005629241115195877
2016-09-01,-0.0020650363645125865,0.0005185185185185185,-0.002583554883031105
2016-09-02,-0.0008387728467473191,0.0004444444444444444,-0.0012832172911917635
2016-09-06,-0.005219177850259373,0.0006666666666666668,-0.00588584451692604
2016-09-07,-0.0009097833029870379,0.0006666666666666666,-0.0015764499696537045
2016-09-08,-0.003938519925206187,0.0006666666666666668,-0.004605186591872854
2016-09-09,0.0015388972105322286,0.0004,0.0011388972105322286
2016-09-12,-0.00882455571030751,0.0006666666666666668,-0.009491222376974176
2016-09-13,-0.009292913239396728,0.0006666666666666668,-0.009959579906063394
2016-09-14,-0.023142265241356194,0.0006666666666666666,-0.02380893190802286
2016-09-15,-0.025003777734860705,0.0004761904761904762,-0.025479968211051182
2016-09-16,-0.01232805401210236,0.0005333333333333334,-0.012861387345435694
2016-09-19,0.005402488174058753,0.0005925925925925926,0.004809895581466161
2016-09-20,0.017665383175490098,0.0006,0.017065383175490098
2016-09-21,0.01489611230928904,0.0006666666666666665,0.014229445642622374
2016-09-22,0.003878673469473753,0.0006666666666666666,0.0032120068028070863
2016-09-23,0.00424695950164511,0.0006000000000000001,0.00364695950164511
2016-09-26,-0.0008020922529556948,0.0005999999999999998,-0.0014020922529556948
2016-09-27,0.005802249120993543,0.0006666666666666666,0.005135582454326876
2016-09-28,-0.00597410049176324,0.0006000000000000001,-0.00657410049176324
2016-09-29,-0.005861709688375151,0.0005333333333333335,-0.006395043021708484
2016-09-30,-0.024723952025046764,0.0006666666666666668,-0.02539061869171343
2016-10-03,-0.025225367360242102,0.0005925925925925926,-0.025817959952834695
2016-10-04,-0.022227206580070883,0.0005333333333333333,-0.022760539913404217
2016-10-05,-0.008060296356536538,6.66666666666666e-05,-0.008126963023203204
2016-10-06,-0.003892469871825321,0.0006666666666666665,-0.004559136538491987
2016-10-07,-0.002861306643287395,0.0006666666666666665,-0.0035279733099540613
2016-10-10,-0.009920687662064935,0.0006666666666666666,-0.010587354328731601
2016-10-11,-0.013679886107468411,0.0005833333333333333,-0.014263219440801745
2016-10-12,-0.017897753522484072,0.0006666666666666666,-0.01856442018915074
2016-10-13,-0.009091418594609484,0.0005925925925925926,-0.009684011187202076
2016-10-14,0.0018152686029696524,0.0005,0.0013152686029696524
2016-10-17,0.0110602939254051,0.0005185185185185185,0.010541775406886581
2016-10-18,0.01059306221368649,0.0006666666666666668,0.009926395547019825
2016-10-19,0.0009036075430348378,0.0006666666666666666,0.0002369408763681711
2016-10-20,-0.005866978188963247,0.0006666666666666666,-0.006533644855629914
2016-10-21,-0.008878166850998908,0.0006666666666666666,-0.009544833517665574
2016-10-24,-0.0008558442099749894,0.0005925925925925926,-0.0014484368025675818
2016-10-25,-0.009930716484991825,0.0006666666666666668,-0.010597383151658491
2016-10-26,-0.009149163417629795,0.0006666666666666668,-0.009815830084296462
2016-10-27,-0.01105117797799357,0.0006,-0.01165117797799357
2016-10-28,-0.00783801975249399,0.0005925925925925926,-0.008430612345086583
2016-10-31,-0.008747859517117715,0.0006666666666666668,-0.009414526183784381
2016-11-01,-0.01160072906009353,0.0006666666666666668,-0.012267395726760196
2016-11-02,0.0028816343084204026,0.0006666666666666666,0.002214967641753736
2016-11-03,0.014188506937980397,0.0005925925925925926,0.013595914345387804
2016-11-04,0.02918521483174666,0.0006666666666666666,0.028518548165079993
2016-11-07,0.014180515706968535,0.0006666666666666666,0.01351384904030187
2016-11-08,-0.0008129909877773456,0.0006666666666666666,-0.0014796576544440121
2016-11-09,-0.016617439134076085,0.0006666666666666668,-0.01728410580074275
2016-11-10,-0.0034519971274450862,0.0006666666666666666,-0.004118663794111753
